City,DH_VU,DH_RU,DH_RS,DH_VS,GS_VU,GS_RU,GS_RS,GS_VS,QA_VU,QA_RU,QA_RS,QA_VS,SL_VU,SL_RU,SL_RS,SL_VS,GJ_VU,GJ_RU,GJ_RS,GJ_VS,SN_VU,SN_RU,SN_RS,SN_VS,GH_VU,GH_RU,GH_RS,GH_VS,A_15_24,A_25_39,A_40_54,A_55_100
Athina,33.5679314565483,27.0705834353325,30.8649530803754,8.49653202774378,36.3206598269966,26.1919130959565,27.901830617582,9.5855964594649,37.8184391427416,34.3509906995552,20.5317428224828,7.29882733522038,14.5981739741146,20.4374435637604,46.5335607504766,18.4308217116484,52.3293381969776,26.6805627931214,16.8316831683168,4.15841584158416,35.5689828801611,24.1289023162135,29.496475327291,10.8056394763343,27.8043704474506,23.2049947970864,35.213319458897,13.7773152965661,14.82,22.25,20.27,42.66
Irakleio,27.8187140405774,26.6276370243262,33.6025032805087,11.9511456545877,36.4863503576106,31.902891105067,21.3861186662637,10.2246398710587,12.537552573603,16.7334267975165,43.8413779291007,26.8876426997797,5.52541691782198,13.5422945549528,44.2535664054651,36.6787221217601,32.7762302692665,31.1977715877437,30.0732487362014,5.9527494067884,13.7347699123955,18.1754103312859,40.6202799315275,27.4695398247911,29.2143005612139,26.574516732488,26.1380170442735,18.0731656620245,20.11,24.44,19.79,35.66
Budapest,28.7603814211012,33.3333333333333,30.1343176458526,7.77196759971291,8.20647242665591,21.9981853009376,46.9704607319286,22.8248815404779,18.8667811332189,35.2590647409353,35.7236642763357,10.1504898495102,5.9431783957434,10.460797108724,43.2085132014858,40.3875112940468,25.1117068811439,23.3467381590706,30.3842716711349,21.1572832886506,18.2847729846597,21.8676001235458,37.6299804385875,22.217646453207,47.9062753740865,28.7437652244519,17.7589606774156,5.59099872404593,10.81,26.82,25.63,36.75
Miskolc,31.3254233850522,33.4753067640199,26.6910049690701,8.50826488185782,7.54449838187702,22.0671521035599,50.3741909385113,20.0141585760518,17.2820823244552,33.545197740113,34.5742534301856,14.5984665052462,9.61654894046418,16.1654894046418,35.882946518668,38.335015136226,52.8210639441161,24.0623320795271,15.0671681891456,8.04943578721118,28.6347330660477,23.2855032707322,35.9675036927622,12.1122599704579,31.1377245508982,26.2035928143713,30.8982035928144,11.7604790419162,11.8,22.82,25.75,39.63
Dublin,17.5741076830006,24.3698326275459,35.7733413994757,22.2827182899778,3.26915363016446,8.9851584436422,39.1496189330124,48.5960689931809,7.62763371150729,10.0688816855754,51.0129659643436,31.2905186385737,2.38716148445336,7.76328986960883,30.3009027081244,59.5486459378134,19.892177357245,21.2454615469248,38.585102871603,20.2772582242271,11.3739763421292,18.926296633303,42.3314123951067,27.3683146294611,64.4691691795778,17.6458354996361,11.8332120203806,6.05178330040553,20.19,30.7,18.32,30.79
Bologna,5.75063613231552,13.9440203562341,47.175572519084,33.1297709923664,3.83647165441547,12.2545564394321,46.0779377706173,37.8310341355352,20.8888888888889,38.9292929292929,33.7676767676768,6.41414141414141,3.63490310272116,9.57927502761321,46.3199116377146,40.465910231951,20.7103766498551,33.71606395536,37.1069857280824,8.46657366670244,20.7361963190184,26.5235173824131,38.680981595092,14.0593047034765,38.9299282397636,37.4208526804559,18.4571549176868,5.19206416209371,10.02,21.97,25.95,42.06
Napoli,25.1009693053312,36.0763327948304,33.7237479806139,5.09894991922456,33.5587662670356,35.3417358335895,24.9205861256276,6.17891177374731,29.3554884189325,37.1601208459215,26.8982880161128,6.58610271903323,9.6696212731668,24.4762288477035,47.008460918614,18.8456889605157,61.8832236842105,27.4979440789474,7.53495065789474,3.08388157894737,26.5168539325843,29.9693564862104,35.7916241062308,7.72216547497446,22.7296587926509,26.9501312335958,38.4041994750656,11.9160104986877,13.77,23.5,26.94,35.8
Palermo,26.6366151009118,36.594611207868,29.7510500973261,7.01772359389407,23.9353153877059,41.8139815186822,25.7834471675372,8.46725592607473,20.024259577479,41.170524613363,28.646517739816,10.158698069342,11.4375762505083,26.5351769011793,46.2078080520537,15.8194387962586,70.1601459558078,25.4307723494831,3.52726535576728,0.88181633894182,18.6013417361252,29.47753608457,42.1630412685505,9.75808091075422,15.8002367882897,21.4616295339576,50.5973522763965,12.1407814013562,12.2,22.38,26.1,39.32
Roma,19.7400241837969,28.8492543329303,39.8024989923418,11.6082224909311,15.585847449133,22.0006013831813,44.2918713039992,18.1216798636865,24.5345677769951,44.6110496125591,28.2580255610345,2.59635704941129,11.7989364904184,17.0562857429517,46.9148189023779,24.229958864252,37.0969403523231,42.659936128567,16.6889873287318,3.55413619037808,30.444988773219,31.9146764645846,30.251071647275,7.38926311492141,36.4039252928142,35.7286060989765,21.4519362667511,6.41553234145827,10.6,20.35,28.61,40.44
Torino,10.9862033725089,21.0832907511497,46.9800715380685,20.9504343382729,6.42146517937896,11.747563058989,43.7342980604964,38.0966737011356,27.7716353402352,43.6626796662981,24.1431299628103,4.42255503065635,3.91959798994975,13.7286432160804,54.7437185929648,27.608040201005,44.9257166771291,35.8861686545302,15.9761456371626,3.21196903117807,20.9137577002053,30.0205338809035,40.0102669404517,9.05544147843943,21.1173927502494,35.1069726194435,38.0667331781399,5.70890145216717,10.04,19.78,26.31,43.87
